_id,author,theme,title
63bf7cd728ff38edfcbc4bee,Bryher,Love,The Pool
63bf7cd728ff38edfcbc4bef,Charles Bertram Johnson,Love,A Little Cabin
63bf7cd728ff38edfcbc4bf0,Countee Cullen,Love,Timid Lover
63bf7cd728ff38edfcbc4bf1,Countee Cullen,Love,Uncle Jim
63bf7cd728ff38edfcbc4bf2,Sterling A. Brown,Love,Long Gone
63bf7cd728ff38edfcbc4bf3,Sterling A. Brown,Love,Effie
63bf7cd728ff38edfcbc4bf4,Amy Lowell,Love,A Decade
63bf7cd728ff38edfcbc4bf5,Helene Johnson,Love,Remember Not
63bf7cd728ff38edfcbc4bf6,Waring Cuney,Love,Burial of the Young Love
63bf7cd728ff38edfcbc4bf7,Waring Cuney,Love,Finis
63bf7cd728ff38edfcbc4bf8,Kaveh Akbar,Love,Love Poem with Bighead
63bf7cd728ff38edfcbc4bf9,Elsa Gidlow,Love,As Usual
63bf7cd728ff38edfcbc4bfa,Elsa Gidlow,Love,This Is Not Love
63bf7cd728ff38edfcbc4bfb,Elsa Gidlow,Love,Experience 
63bf7cd728ff38edfcbc4bfc,Elsa Gidlow,Love,Come And Lie With Me
63bf7cd728ff38edfcbc4bfd,Elsa Gidlow,Love,Grain and Grapes 
63bf7cd728ff38edfcbc4bfe,Claude McKay,Love,Commemoration
63bf7cd728ff38edfcbc4bff,Elsa Gidlow,Love,Chance 
63bf7cd728ff38edfcbc4c00,Elsa Gidlow,Love,To a Young Dancing Girl 
63bf7cd728ff38edfcbc4c01,Elsa Gidlow,Love,Poppy Song
63bf7cd728ff38edfcbc4c02,Elsa Gidlow,Love,Dawn
63bf7cd728ff38edfcbc4c03,Elsa Gidlow,Love,Chant of Spring 
63bf7cd728ff38edfcbc4c04,Elsa Gidlow,Love,The Face in the Rain
63bf7cd728ff38edfcbc4c05,Elsa Gidlow,Love,Relinquishment
63bf7cd728ff38edfcbc4c06,Elsa Gidlow,Love,Mnasidika
63bf7cd728ff38edfcbc4c07,Elsa Gidlow,Love,Constancy
63bf7cd728ff38edfcbc4c08,Elsa Gidlow,Love,When Love Becomes a Stranger 
63bf7cd728ff38edfcbc4c09,Elsa Gidlow,Love,Love Sleep 
63bf7cd728ff38edfcbc4c0a,John Wesley Holloway,Love,Miss Melerlee
63bf7cd728ff38edfcbc4c0b,Elsa Gidlow,Love,You Are Not She 
63bf7cd728ff38edfcbc4c0c,Elsa Gidlow,Love,Love Song 
63bf7cd728ff38edfcbc4c0d,Elsa Gidlow,Love,Sudden Friendship
63bf7cd728ff38edfcbc4c0e,Maria Lisella,Love,We 
63bf7cd728ff38edfcbc4c0f,Bruce Nugent,Love,My Love
63bf7cd728ff38edfcbc4c10,Sappho,Love,One Girl
63bf7cd728ff38edfcbc4c11,Elsa Gidlow,Love,Of a Certain Friendship
63bf7cd728ff38edfcbc4c12,Sadakichi Hartmann,Love,Love By The Sea #2
63bf7cd728ff38edfcbc4c13,Sadakichi Hartmann,Love,Twilight Hours
63bf7cd728ff38edfcbc4c14,William Stanley Braithwaite,Love,Sic Vita
63bf7cd728ff38edfcbc4c15,William Stanley Braithwaite,Love,Sandy Star
63bf7cd728ff38edfcbc4c16,William Stanley Braithwaite,Love,Sandy Star and Willie Gee
63bf7cd728ff38edfcbc4c17,Sadakichi Hartmann,Love,Why I No Longer Love Thee?
63bf7cd728ff38edfcbc4c18,George Marion McClellan,Love,The Feet of Judas
63bf7cd728ff38edfcbc4c19,Hart Crane,Love,Voyages V
63bf7cd728ff38edfcbc4c1a,William Moore,Love,Dusk Song
63bf7cd728ff38edfcbc4c1b,William Moore,Love,It Was Not Fate
63bf7cd728ff38edfcbc4c1c,Haʻåni Lucia Falo San Nicolas,Love,By Your Hand
63bf7cd728ff38edfcbc4c1d,James D. Corrothers,Love,The Negro Singer
63bf7cd728ff38edfcbc4c1e,James D. Corrothers,Love,Paul Laurence Dunbar
63bf7cd728ff38edfcbc4c1f,James Edwin Campbell,Love,Compensation
63bf7cd728ff38edfcbc4c20,Ameen Rihani,Love,Lebanus
63bf7cd728ff38edfcbc4c21,Donovan Kūhiō Colleps,Love,Our Red Road
63bf7cd728ff38edfcbc4c22,Ono no Komachi,Love,"[The flowers and my love,]"
63bf7cd728ff38edfcbc4c23,James Edwin Campbell,Love,Negro Serenade
63bf7cd728ff38edfcbc4c24,Moheb Soliman,Love,The same place twice 
63bf7cd728ff38edfcbc4c25,Ameen Rihani,Love,Water and Flowers
63bf7cd728ff38edfcbc4c26,Jamil B. Holway,Love,Throbbings
63bf7cd728ff38edfcbc4c27,Jamaica Heolimeleikalani Osorio,Love,For Mauna a Wākea
63bf7cd728ff38edfcbc4c28,Craig Santos Perez,Love,Love in a Time of Covid-19
63bf7cd728ff38edfcbc4c29,Dana Naone Hall,Love,Remembering
63bf7cd728ff38edfcbc4c2a,Ameen Rihani,Love,In Memory of E. M. EL—K.
63bf7cd728ff38edfcbc4c2b,Ameen Rihani,Love,Near the Cascades
63bf7cd728ff38edfcbc4c2c,Ameen Rihani,Love,Written After Reading King Lear
63bf7cd728ff38edfcbc4c2d,Ameen Rihani,Love,"O, Sweet Sometime"
63bf7cd728ff38edfcbc4c2e,Ameen Rihani,Love,In The Meadow
63bf7cd728ff38edfcbc4c2f,Ameen Rihani,Love,Nectar and Blood
63bf7cd728ff38edfcbc4c30,Ameen Rihani,Love,Adele
63bf7cd728ff38edfcbc4c31,Paul Laurence Dunbar,Love,Hymn
63bf7cd728ff38edfcbc4c32,Ameen Rihani,Love,Lilatu Laili
63bf7cd728ff38edfcbc4c33,Ameen Rihani,Love,Let Thine Eyes Whisper 
63bf7cd728ff38edfcbc4c34,Ameen Rihani,Love,Retribution 
63bf7cd728ff38edfcbc4c35,Ameen Rihani,Love,A Peasant&#039;s Song
63bf7cd728ff38edfcbc4c36,Ameen Rihani,Love,Three Golden Threads (After de Lisle.)
63bf7cd728ff38edfcbc4c37,Ameen Rihani,Love,Beneath The Salvias 
63bf7cd728ff38edfcbc4c38,Ameen Rihani,Love,Stolen Salvias 
63bf7cd728ff38edfcbc4c39,Ameen Rihani,Love,Her First Sorrow
63bf7cd728ff38edfcbc4c3a,Ameen Rihani,Love,The Brass Bed
63bf7cd728ff38edfcbc4c3b,Rosemary Catacalos,Love,Mr. Chairman Takes His Leave
63bf7cd728ff38edfcbc4c3c,Henry David Thoreau,Love,My Love Must Be As Free 
63bf7cd728ff38edfcbc4c3d,Henry David Thoreau,Love,True Kindness Is a Pure Divine Affinity 
63bf7cd728ff38edfcbc4c3e,Paul Laurence Dunbar,Love,Dirge
63bf7cd728ff38edfcbc4c3f,E. E. Cummings,Love,[since feeling is first]
63bf7cd728ff38edfcbc4c40,May Sinclair,Love,The Dark Night (XVIII)
63bf7cd728ff38edfcbc4c41,Paul Laurence Dunbar,Love,Nora: A Serenade
63bf7cd728ff38edfcbc4c42,Paul Laurence Dunbar,Love,Good-Night
63bf7cd728ff38edfcbc4c43,Paul Laurence Dunbar,Love,Discovered
63bf7cd728ff38edfcbc4c44,Paul Laurence Dunbar,Love,Comparison
63bf7cd728ff38edfcbc4c45,Ameen Rihani,Love,Gone with the Swallows
63bf7cd728ff38edfcbc4c46,Mohja Kahf,Love,​​The Aunty Poem (Mi Privilege Es Su Privilege)
63bf7cd728ff38edfcbc4c47,Paul Laurence Dunbar,Love,Ballad
63bf7cd728ff38edfcbc4c48,Farnaz Fatemi,Love,Farnaz
63bf7cd728ff38edfcbc4c49,Paul Laurence Dunbar,Love,Nature and Art
63bf7cd728ff38edfcbc4c4a,Tracy Fuad,Love,Eclipse Season
63bf7cd728ff38edfcbc4c4b,Brian Tierney,Love,We Dream The Dreams Dreaming Us 
63bf7cd728ff38edfcbc4c4c,Paul Laurence Dunbar,Love,Columbian Ode
63bf7cd728ff38edfcbc4c4d,Paul Laurence Dunbar,Love,Night of Love
63bf7cd728ff38edfcbc4c4e,Qwo-Li Driskill,Love,Mnemonic: ᎠᏓᏁᏗ/Adanedi/Gift
63bf7cd728ff38edfcbc4c4f,Dorothy Parker,Love,Renunciation
63bf7cd728ff38edfcbc4c50,Dorothy Parker,Love,Ballade of a Great Weariness
63bf7cd728ff38edfcbc4c51,Dorothy Parker,Love,They Part
63bf7cd728ff38edfcbc4c52,Dorothy Parker,Love,The New Love
63bf7cd728ff38edfcbc4c53,Dorothy Parker,Love,To a Much Too Unfortunate Lady
63bf7cd728ff38edfcbc4c54,Dorothy Parker,Love,Love Song
63bf7cd728ff38edfcbc4c55,Dorothy Parker,Love,Somebody’s Song
63bf7cd728ff38edfcbc4c56,Dorothy Parker,Love,The Thin Edge
63bf7cd728ff38edfcbc4c57,Dorothy Parker,Love,One Perfect Rose
63bf7cd728ff38edfcbc4c58,Dorothy Parker,Love, Social Note
63bf7cd728ff38edfcbc4c59,Dorothy Parker,Love,Godspeed
63bf7cd728ff38edfcbc4c5a,Dorothy Parker,Love,The Immortals 
63bf7cd728ff38edfcbc4c5b,Dorothy Parker,Love,Folk Tune
63bf7cd728ff38edfcbc4c5c,Dorothy Parker,Love,Prophetic Soul
63bf7cd728ff38edfcbc4c5d,Eugenia Leigh,Love,Glossolalia
63bf7cd728ff38edfcbc4c5e,Tarfia  Faizullah,Love,Red-Lipped Poem
63bf7cd728ff38edfcbc4c5f,Maya C. Popa,Love,One Way or Another
63bf7cd728ff38edfcbc4c60,Emily Pittinos,Love,A Cloud of Drench Bearing Down
63bf7cd728ff38edfcbc4c61,torrin a. greathouse,Love,Sick4Sick
63bf7cd728ff38edfcbc4c62,Dorothy Parker,Love,Indian Summer
63bf7cd728ff38edfcbc4c63,Dorothy Parker,Love,De Profundis
63bf7cd728ff38edfcbc4c64,Dorothy Parker,Love,Pattern
63bf7cd728ff38edfcbc4c65,Dorothy Parker,Love,Plea
63bf7cd728ff38edfcbc4c66,Dorothy Parker,Love,Comment
63bf7cd728ff38edfcbc4c67,Dorothy Parker,Love,Now at Liberty
63bf7cd728ff38edfcbc4c68,Paul Laurence Dunbar,Love,After the Quarrel
63bf7cd728ff38edfcbc4c69,Dorothy Parker,Love,Verse Reporting Late Arrival at a Conclusion
63bf7cd728ff38edfcbc4c6a,Dorothy Parker,Love,Unfortunate Coincidence
63bf7cd728ff38edfcbc4c6b,Paul Laurence Dunbar,Love,Alice
63bf7cd728ff38edfcbc4c6c,Paul Laurence Dunbar,Love,Ione
63bf7cd728ff38edfcbc4c6d,Dorothy Parker,Love,General Review of the Sex Situation 
63bf7cd728ff38edfcbc4c6e,Dorothy Parker,Love,Ballade of Big Plans
63bf7cd728ff38edfcbc4c6f,Dorothy Parker,Love,The Choice 
63bf7cd728ff38edfcbc4c70,Dorothy Parker,Love,Rondeau Redoublé 
63bf7cd728ff38edfcbc4c71,Dorothy Parker,Love,Fighting Words
63bf7cd728ff38edfcbc4c72,Dorothy Parker,Love,Symptom Recital 
63bf7cd728ff38edfcbc4c73,Paul Laurence Dunbar,Love,The Lover And The Moon
63bf7cd728ff38edfcbc4c74,Paul Laurence Dunbar,Love,The Rivals
63bf7cd728ff38edfcbc4c75,Paul Laurence Dunbar,Love,To Louise
63bf7cd728ff38edfcbc4c76,Paul Laurence Dunbar,Love,Spring Song
63bf7cd728ff38edfcbc4c77,Elizabeth Curtis Holman,Love,We Pulled a Rose in Summer Time
63bf7cd728ff38edfcbc4c78,E. Ethelbert Miller,Love,Crossing the Line
63bf7cd728ff38edfcbc4c79,Langston Hughes,Love,"To a Little Lover-Lass, Dead"
63bf7cd728ff38edfcbc4c7a,Langston Hughes,Love,Poem
63bf7cd728ff38edfcbc4c7b,Langston Hughes,Love,Natcha
63bf7cd728ff38edfcbc4c7c,Paul Laurence Dunbar,Love,Premonition
63bf7cd728ff38edfcbc4c7d,Paul Laurence Dunbar,Love,Two Songs
63bf7cd728ff38edfcbc4c7e,Stéphane Mallarmé,Love,Apparition
63bf7cd728ff38edfcbc4c7f,Langston Hughes,Love,The Cat and the Saxophone (2 A.M.)
63bf7cd728ff38edfcbc4c80,Paul Laurence Dunbar,Love,Longing
63bf7cd728ff38edfcbc4c81,Paul Laurence Dunbar,Love,The Master-Player
63bf7cd728ff38edfcbc4c82,Dorothy Parker,Love,Recurrence
63bf7cd728ff38edfcbc4c83,Paul Laurence Dunbar,Love,Song 
63bf7cd728ff38edfcbc4c84,Paul Laurence Dunbar,Love,Passion and Love
63bf7cd728ff38edfcbc4c85,Patrick Phillips,Love,Having a Fight With You
63bf7cd728ff38edfcbc4c86,Mina Loy,Love,"Songs to Joannes, VII"
63bf7cd728ff38edfcbc4c87,Cathy Song,Love,April Moon
63bf7cd728ff38edfcbc4c88,Elinor Wylie,Love,Velvet Shoes
63bf7cd728ff38edfcbc4c89,Walter de la Mare,Love,Mistletoe
63bf7cd728ff38edfcbc4c8a,William Moore,Love,Here in the Time of the Winter Morn
